Campaign_Name,Ad_Set_Name,Ad_Name,Date,Objective,Placement,Device,Age,Gender,Impressions,Reach,Frequency,Clicks,CTR,Link_Clicks,CPC,Spend,Conversions,Revenue,ROAS,AOV,Video_Views,Video_Avg_Watch_Time,Engagement,Post_Reactions,Post_Comments,Post_Shares
Holiday_Campaign_2024,Retargeting_Set,Facebook_Feed_Ad,2024-06-01,Traffic,Facebook_Feed,Desktop,25-34,Male,732965,599277,1.22,16699,2.28,14474,1.9,31682.95,1060,126530.98,3.99,119.37,0,0.0,4470,2325,502,159
Holiday_Campaign_2024,Awareness_Set,Instagram_Reels_Ad,2024-06-01,Conversions,Instagram_Reels,Mobile,45-54,Male,721080,576767,1.25,11932,1.65,9496,1.92,22926.1,842,123299.01,5.38,146.44,455942,15.7,3847,1646,336,176
Black_Friday_2024,Retargeting_Set,Instagram_Stories_Ad,2024-06-01,Brand_Awareness,Instagram_Stories,Mobile,25-34,Female,936932,742777,1.26,15362,1.64,13094,2.28,35045.71,894,135206.42,3.86,151.24,528744,13.3,5946,3526,704,262
Black_Friday_2024,Retargeting_Set,Facebook_Feed_Ad,2024-06-01,Brand_Awareness,Facebook_Feed,Desktop,18-24,Male,1489975,1158656,1.29,28729,1.93,22573,2.2,63081.86,1656,279434.41,4.43,168.74,0,0.0,6371,3392,565,322
Cyber_Monday_2024,Awareness_Set,Instagram_Feed_Ad,2024-06-01,Brand_Awareness,Instagram_Feed,Mobile,35-44,Male,713966,501724,1.42,18302,2.56,16412,2.59,47342.86,1811,272878.22,5.76,150.68,0,0.0,4473,1868,365,162
Cyber_Monday_2024,Awareness_Set,Instagram_Stories_Ad,2024-06-01,Traffic,Instagram_Stories,Desktop,35-44,Female,529171,388041,1.36,9131,1.73,8271,2.07,18937.17,634,93500.02,4.94,147.48,294557,21.3,1970,1176,229,80
Summer_Sale_2024,Awareness_Set,Instagram_Reels_Ad,2024-06-01,Traffic,Instagram_Reels,Desktop,18-24,Female,1278871,1019668,1.25,28751,2.25,25557,2.44,70115.58,1712,234186.21,3.34,136.79,703540,21.9,6867,3201,506,304
Summer_Sale_2024,Conversion_Set,Instagram_Feed_Ad,2024-06-01,Conversions,Instagram_Feed,Mobile,18-24,Male,1688865,1324814,1.27,36565,2.17,33487,2.18,79548.95,2257,355180.02,4.46,157.37,0,0.0,9765,5002,1135,486
Back_To_School_2024,Awareness_Set,Instagram_Feed_Ad,2024-06-01,Traffic,Instagram_Feed,Mobile,45-54,Female,1470659,1087009,1.35,21037,1.43,16479,1.79,37606.95,1820,244303.42,6.5,134.23,0,0.0,7391,4297,627,349
Back_To_School_2024,Conversion_Set,Facebook_Feed_Ad,2024-06-01,Traffic,Facebook_Feed,Mobile,35-44,Female,1083401,768477,1.41,16168,1.49,13164,1.9,30749.51,1626,264828.22,8.61,162.87,0,0.0,5850,3359,691,237
Spring_Launch_2024,Retargeting_Set,Instagram_Feed_Ad,2024-06-01,Brand_Awareness,Instagram_Feed,Mobile,25-34,Male,1041159,787013,1.32,24664,2.37,22625,2.04,50310.69,1511,195251.78,3.88,129.22,0,0.0,4978,2805,605,175
Spring_Launch_2024,Conversion_Set,Instagram_Reels_Ad,2024-06-01,Conversions,Instagram_Reels,Desktop,25-34,Female,621290,458270,1.36,10353,1.67,8131,2.06,21297.17,1048,141213.57,6.63,134.75,406873,20.2,2852,1695,364,121
Valentine_Day_2024,Conversion_Set,Facebook_Feed_Ad,2024-06-01,Traffic,Facebook_Feed,Desktop,18-24,Male,1686672,1214626,1.39,29378,1.74,22658,2.3,67464.13,2354,280092.5,4.15,118.99,0,0.0,7313,4253,617,287
Valentine_Day_2024,Conversion_Set,Instagram_Stories_Ad,2024-06-01,Brand_Awareness,Instagram_Stories,Mobile,45-54,Female,1836462,1511128,1.22,31044,1.69,27295,2.43,75443.91,2092,331030.86,4.39,158.24,1130569,19.4,9917,5029,747,595
New_Year_2024,Awareness_Set,Instagram_Stories_Ad,2024-06-01,Brand_Awareness,Instagram_Stories,Mobile,35-44,Female,1538398,1081459,1.42,22290,1.45,19290,2.36,52520.96,1265,184312.27,3.51,145.7,890561,19.6,6189,3330,576,390
New_Year_2024,Conversion_Set,Instagram_Reels_Ad,2024-06-01,Conversions,Instagram_Reels,Mobile,25-34,Female,540442,392447,1.38,8302,1.54,7656,2.53,21021.15,567,87476.24,4.16,154.28,395861,18.6,2750,1233,207,170
Q3_Promo_2024,Retargeting_Set,Facebook_Feed_Ad,2024-06-01,Brand_Awareness,Facebook_Feed,Mobile,45-54,Male,1620902,1248038,1.3,29287,1.81,24143,2.4,70254.86,2901,485775.39,6.91,167.45,0,0.0,9465,5001,710,377
Q3_Promo_2024,Retargeting_Set,Instagram_Reels_Ad,2024-06-01,Traffic,Instagram_Reels,Desktop,35-44,Male,2387383,1828650,1.31,33686,1.41,26350,2.34,78955.99,1894,237369.09,3.01,125.33,1582048,20.1,13025,5794,1468,548
Flash_Sale_2024,Retargeting_Set,Facebook_Feed_Ad,2024-06-01,Brand_Awareness,Facebook_Feed,Desktop,35-44,Male,998652,785912,1.27,21766,2.18,19793,2.34,50904.13,1812,220036.84,4.32,121.43,0,0.0,4596,2082,389,295
Flash_Sale_2024,Awareness_Set,Instagram_Feed_Ad,2024-06-01,Conversions,Instagram_Feed,Desktop,18-24,Female,1450398,1173092,1.24,31290,2.16,28164,2.2,68910.61,2618,378473.86,5.49,144.57,0,0.0,5925,3226,514,211
Holiday_Campaign_2024,Conversion_Set,Facebook_Feed_Ad,2024-06-02,Traffic,Facebook_Feed,Mobile,25-34,Female,912004,639831,1.43,23060,2.53,21380,2.57,59150.76,1701,198840.92,3.36,116.9,0,0.0,5731,2783,733,366
Holiday_Campaign_2024,Retargeting_Set,Instagram_Feed_Ad,2024-06-02,Conversions,Instagram_Feed,Mobile,35-44,Female,655399,471341,1.39,12204,1.86,11101,2.04,24882.63,782,115966.28,4.66,148.29,0,0.0,4134,2229,430,156
Black_Friday_2024,Awareness_Set,Instagram_Feed_Ad,2024-06-02,Traffic,Instagram_Feed,Mobile,25-34,Male,726525,598299,1.21,11392,1.57,9718,2.53,28845.55,1043,163153.27,5.66,156.43,0,0.0,4073,1922,356,241
Black_Friday_2024,Conversion_Set,Instagram_Stories_Ad,2024-06-02,Brand_Awareness,Instagram_Stories,Mobile,25-34,Male,2234074,1798565,1.24,55759,2.5,47502,2.2,122744.2,5259,808297.3,6.59,153.7,1569462,21.2,13784,6445,1275,521
Cyber_Monday_2024,Retargeting_Set,Instagram_Stories_Ad,2024-06-02,Brand_Awareness,Instagram_Stories,Desktop,25-34,Male,2088870,1421249,1.47,40915,1.96,35074,2.01,82327.38,3451,406420.87,4.94,117.77,1106496,21.5,9568,4070,969,555
Cyber_Monday_2024,Conversion_Set,Instagram_Reels_Ad,2024-06-02,Conversions,Instagram_Reels,Desktop,45-54,Female,625241,480456,1.3,9393,1.5,7268,2.23,20923.77,769,117634.65,5.62,152.97,443160,23.1,3156,1466,371,136
Summer_Sale_2024,Conversion_Set,Instagram_Stories_Ad,2024-06-02,Conversions,Instagram_Stories,Mobile,25-34,Male,496219,340787,1.46,7098,1.43,6591,2.5,17714.21,634,88582.02,5.0,139.72,280391,14.3,2109,1075,238,115
Summer_Sale_2024,Retargeting_Set,Facebook_Feed_Ad,2024-06-02,Brand_Awareness,Facebook_Feed,Mobile,25-34,Male,491158,401880,1.22,11225,2.29,9644,2.3,25798.58,854,111334.61,4.32,130.37,0,0.0,2243,1237,158,86
Back_To_School_2024,Awareness_Set,Facebook_Feed_Ad,2024-06-02,Conversions,Facebook_Feed,Desktop,45-54,Male,1186612,808212,1.47,28793,2.43,25470,2.18,62690.22,1747,252465.47,4.03,144.51,0,0.0,5838,2537,560,274
Back_To_School_2024,Retargeting_Set,Instagram_Feed_Ad,2024-06-02,Conversions,Instagram_Feed,Desktop,25-34,Female,1447759,1115156,1.3,21055,1.45,17447,2.31,48652.98,1687,279496.11,5.74,165.68,0,0.0,7928,3429,588,430
Spring_Launch_2024,Retargeting_Set,Facebook_Feed_Ad,2024-06-02,Brand_Awareness,Facebook_Feed,Desktop,35-44,Female,975167,743922,1.31,24654,2.53,21272,2.1,51812.59,2141,305260.93,5.89,142.58,0,0.0,5009,2946,466,319
Spring_Launch_2024,Retargeting_Set,Instagram_Reels_Ad,2024-06-02,Traffic,Instagram_Reels,Mobile,18-24,Male,1671319,1177224,1.42,24789,1.48,19388,1.78,44026.14,1500,233421.59,5.3,155.61,900020,16.0,10085,4080,1198,438
Valentine_Day_2024,Awareness_Set,Instagram_Feed_Ad,2024-06-02,Brand_Awareness,Instagram_Feed,Mobile,25-34,Female,612080,477122,1.28,13188,2.15,12056,2.41,31741.7,1247,165050.43,5.2,132.36,0,0.0,2468,1357,292,159
Valentine_Day_2024,Awareness_Set,Facebook_Feed_Ad,2024-06-02,Brand_Awareness,Facebook_Feed,Desktop,45-54,Male,623589,455720,1.37,14540,2.33,11965,2.58,37499.63,1413,199065.78,5.31,140.88,0,0.0,3587,1976,273,222
New_Year_2024,Retargeting_Set,Facebook_Feed_Ad,2024-06-02,Brand_Awareness,Facebook_Feed,Mobile,18-24,Male,851453,680284,1.25,15190,1.78,13932,2.1,31936.94,858,144583.43,4.53,168.51,0,0.0,3213,1490,408,204
New_Year_2024,Conversion_Set,Instagram_Reels_Ad,2024-06-02,Conversions,Instagram_Reels,Desktop,25-34,Female,650416,500674,1.3,12605,1.94,10271,2.05,25830.48,1112,177517.15,6.87,159.64,472078,21.1,2454,1224,180,126
Q3_Promo_2024,Conversion_Set,Instagram_Reels_Ad,2024-06-02,Traffic,Instagram_Reels,Desktop,45-54,Female,1338447,1081673,1.24,24374,1.82,19131,1.89,45965.29,2255,342436.74,7.45,151.86,731182,13.5,7499,3108,894,421
Q3_Promo_2024,Retargeting_Set,Facebook_Feed_Ad,2024-06-02,Conversions,Facebook_Feed,Desktop,25-34,Male,840344,577926,1.45,21714,2.58,17992,2.09,45298.99,2063,352650.08,7.78,170.94,0,0.0,5426,2987,502,203
Flash_Sale_2024,Retargeting_Set,Facebook_Feed_Ad,2024-06-02,Traffic,Facebook_Feed,Mobile,35-44,Male,705786,535522,1.32,13473,1.91,12382,1.86,25030.86,1073,125174.58,5.0,116.66,0,0.0,3462,1423,267,133
Flash_Sale_2024,Conversion_Set,Instagram_Feed_Ad,2024-06-02,Conversions,Instagram_Feed,Mobile,18-24,Male,969354,762791,1.27,20356,2.1,18901,2.09,42541.72,1419,236091.45,5.55,166.38,0,0.0,4042,2395,285,259
Holiday_Campaign_2024,Awareness_Set,Facebook_Feed_Ad,2024-06-03,Traffic,Facebook_Feed,Desktop,18-24,Male,1244244,1006184,1.24,25298,2.03,23623,1.82,46167.36,2089,359766.63,7.79,172.22,0,0.0,6307,3316,704,306
Holiday_Campaign_2024,Awareness_Set,Instagram_Feed_Ad,2024-06-03,Conversions,Instagram_Feed,Mobile,45-54,Female,1126986,859492,1.31,27964,2.48,21608,2.01,56130.67,2841,476251.89,8.48,167.64,0,0.0,5485,2874,475,222
Black_Friday_2024,Conversion_Set,Instagram_Feed_Ad,2024-06-03,Brand_Awareness,Instagram_Feed,Desktop,25-34,Female,1427093,1038927,1.37,29974,2.1,23326,2.62,78455.97,3097,484660.0,6.18,156.49,0,0.0,7290,3367,866,404
Black_Friday_2024,Awareness_Set,Facebook_Feed_Ad,2024-06-03,Traffic,Facebook_Feed,Mobile,45-54,Male,521322,423125,1.23,12444,2.39,11528,2.4,29848.59,1063,149094.36,5.0,140.26,0,0.0,3283,1881,238,117
Cyber_Monday_2024,Conversion_Set,Instagram_Stories_Ad,2024-06-03,Brand_Awareness,Instagram_Stories,Mobile,35-44,Male,937267,746610,1.26,24225,2.58,19151,2.28,55301.68,1799,309886.81,5.6,172.26,692594,21.7,4598,2220,397,168
Cyber_Monday_2024,Conversion_Set,Instagram_Feed_Ad,2024-06-03,Traffic,Instagram_Feed,Mobile,45-54,Female,2172913,1731670,1.25,56488,2.6,52783,2.25,127029.08,5248,896339.57,7.06,170.8,0,0.0,13143,5907,1275,510
Summer_Sale_2024,Retargeting_Set,Facebook_Feed_Ad,2024-06-03,Conversions,Facebook_Feed,Desktop,18-24,Male,1341937,1027824,1.31,22469,1.67,19754,2.3,51767.52,1644,201531.94,3.89,122.59,0,0.0,7400,3730,860,374
Summer_Sale_2024,Awareness_Set,Instagram_Feed_Ad,2024-06-03,Conversions,Instagram_Feed,Mobile,35-44,Female,2142102,1623254,1.32,44408,2.07,40590,2.12,93925.8,2772,326179.56,3.47,117.67,0,0.0,12350,6472,1386,511
Back_To_School_2024,Retargeting_Set,Instagram_Feed_Ad,2024-06-03,Conversions,Instagram_Feed,Desktop,45-54,Female,474201,321120,1.48,8633,1.82,7470,2.11,18173.97,664,111844.96,6.15,168.44,0,0.0,2155,1083,252,101
Back_To_School_2024,Retargeting_Set,Facebook_Feed_Ad,2024-06-03,Brand_Awareness,Facebook_Feed,Desktop,35-44,Male,544605,438055,1.24,13829,2.54,10924,2.58,35615.17,1101,144206.97,4.05,130.98,0,0.0,2656,1582,264,119
